name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Kashiwaya,"2-5-18 Senriyama Nishi, Suita 565-0851 Osaka Prefecture",1,3.304429531097412,$$$$,30,,,Japanese,Kaiseki,,,,,,
Kinokuni-Ya,"5-9-14 Higashi Nambacho, Amagasaki 660-0892 Hyogo Prefecture",4,3.287041187286377,$$ - $$$,24,,Small friendly family izakaya. We welcome all people and we have English speaking staff and menu. Non-smoking area available. Daily menu changes. Drop by and enjoy our local food.,Japanese,,,,,,,
Osaka Tonteki Osakaekimaen 2nd Bldg.,"1-2-2 Umeda, Kita-ku B2F Osakaekimae 2nd Bldg., Osaka 530-0001 Osaka Prefecture",478,3.2924511432647705,,53,,,Japanese,,,,,,,
The Lounge,"5-1-60 Swissotel Nankai Osaka, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",35,3.2999067306518555,$$ - $$$,38,$20 - $59,"The lobby lounge provides an inviting welcome away from the hustle and bustle of the city, with a selection of light meals, seasonal afternoon tea and desserts. The relaxing and cosy atmosphere is ideal for meeting friends, business discussions or unwinding after a day of touring the city.",Cafe,,,,,,,
Craft Beer Works Kamikaze,"1-22-21 Kitahorie, Nishi-ku, Osaka 550-0014 Osaka Prefecture",528,3.2797207832336426,$$ - $$$,43,,,Bar,Pub,,,,,,
Koryu,"1-5-1 Dojima, Kita-ku Espas Kitashinchi 23, Osaka 530-0003 Osaka Prefecture",498,3.287576913833618,$$$$,69,"$25,000 - $50,000","Koryu in Kitashinchi, Osaka, is a Michelin 3-star restaurant run by Chef Matsuo who grew in a family of restaurant owners. Chef Matsuo strongly believes that traditional Japanese dishes served in elegant Wajima-lacquered trays are the essence of enjoying the local cuisine. Although everything in the interior indicates respect towards the traditions of old Japan, Koryu makes the customers feel relaxed by discreetly adding background music and by creating a friendly atmosphere around the counter. Chef Matsuo's meal is often described as ""sublime"" and ""excellent"". Koryu serves a multi-course meal, consisting of about 8-12 dishes in which the chef has implemented his own creative ideas while preserving the classical spirit of traditional Japanese cuisine. The meal is always personalized and uses various seasonal ingredients. In the past guests have been served exquisite items such as tuna with egg yolk soy sauce, abalone sashimi with sprouting broccoli and mustard, soup of shrimp and bamboo shoots, grilled mushrooms, blackthroat sea perch with butternut sprouts sauce, Japanese wagyu beef in wasabi sauce, and many more! In addition Koryu serves a wide variety of brand sake from various regions of Japan! Koryu has only 12 counter seats and reservation are mandatory. You can book your seats through Voyagin restaurant reservation service and enjoy the delicious taste of Koryu's meal set!",Japanese,Kappo,,,,,,
Waraiya Uratenma Tenjin Yokocho,"8-6 Ikedacho, Kita-Ku, Osaka 530-0033 Osaka Prefecture",437,3.304112195968628,$$ - $$$,10,"$3,000 - $3,999","3 minutes walk from JR Tenma Station & Open until 2:00 a.m.! This is an izakaya where you can enjoy a wide variety of dishes and Japanese sake. The most popular menu items are ""assorted sashimi"" and creative dishes that use sea urchin and salmon roe generously. Seafood purchased directly from the market has a reputation for its freshness and delicious taste. You can also enjoy Osaka's gourmet specialties such as the famous ""Kushikatsu"" and ""Kushiten"" (skewered tempura on a skewer). There are always more than 20 varieties of sake available, from standard to rare brands. We recommend enjoying a sake comparison. The interior of the restaurant is a casual and comfortable Japanese-style space. It can be used for a wide range of scenes, from small groups to banquets. For larger gatherings, we offer a special ""all-you-can-drink"" course.",Japanese,Seafood,,,,,,
Harmonie Embrassee Osaka Restaurant Rayon,"7-20 Chayamachi Kita-Ku, Osaka 530-0013 Osaka Prefecture",485,3.290297508239746,$$$$,35,,,French,,,,,,,
Chugokusai Oil,"6-19-12 Minamieguchi Higashiyodogawa-ku, Osaka 533-0003 Osaka Prefecture",414,3.3145039081573486,$$ - $$$,40,,,Chinese,,,,,,,
Steak Sakura Osaka Shochikuza,"1-9-19 Osaka Shochikuza B1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",41,3.280203342437744,$$$$,25,"$5,000 - $20,000","■ Kobe beef steak restaurant appeared around Osaka Namba Station! Teppanyaki counter with full of presence, restaurant that pleases Kobe beef steak with calm atmosphere. We can guide from individual customer to group. ■ Based on the Japanese ""Kokoro"" registered as an Intangible Cultural Heritage, we will provide you a wide range of products, including Tenpura, Sushi and Sashimi.",Steakhouse,Japanese,,,,,,
Yakiniku Maru Shinsaibashi Honten,"2-1-27 Higashishinsaibashi 1F, Chuo, Osaka 542-0083 Osaka Prefecture",229,3.2809760570526123,$$ - $$$,22,"$3,500 - $7,000","3 minute walk from Nagahoribashi Station. If you want to eat really delicious yakiniku, please come to our shop. The highest quality meat spreads in your mouth. Repeated one after another! There is also a calm private room. Please feel free to contact us when making a reservation on the day.",Japanese,Barbecue,Asian,Grill,,,,
Beer Belly Temma,"7-4 Ikedacho, Kita-Ku, Osaka 530-0033 Osaka Prefecture",513,3.2823407649993896,$$ - $$$,41,,,Bar,Brew Pub,,,,,,
Honto Sushi Kaiba Honten,"1-15-22 Kitahorie Nishi-Ku, Osaka Osaka Prefecture",523,3.2808377742767334,$$ - $$$,37,,,Seafood,,,,,,,
Teppan Kushiyaki Bar Teppei,"1-9-14 Sonezakishinchi, Kita-ku 1f, Osaka 530-0002 Osaka Prefecture",525,3.2806172370910645,$$ - $$$,21,,,Grill,Japanese,,,,,,
Ceylon Curry,"1-13-4 Minamisemba, Chuo, Osaka 542-0081 Osaka Prefecture",231,3.2807114124298096,$$ - $$$,26,,,Indian,,,,,,,
Sakai Tachibana,"5-1-60 Namba City South Bldg. 1F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",40,3.28254508972168,$$ - $$$,38,,,Japanese,,,,,,,
Sheraton Miyako Hotel Osaka Japanese Restaurant Uemachi,"6-1-55 Uehonmachi, Tenoji-ku Sheraton Miyako Hotel Osaka 3F, Osaka 543-0001 Osaka Prefecture",515,3.281688690185547,$$$$,49,,,Japanese,Kaiseki,Kappo,,,,,
Kanidoraku Umeda,"2-15-20 Sonezaki, Kita-ku Swing Umeda Bldg. 8F, Osaka 530-0057 Osaka Prefecture",522,3.28086519241333,$$$$,38,,,Japanese,Seafood,Sushi,Diner,,,,
Tsuruhashi Fugetsu Links Umeda,"1-1-1 Ofukacho, Kita-ku Links Umeda 8F, Osaka 530-0011 Osaka Prefecture",509,3.283705711364746,$$ - $$$,70,$8 - $20,,Japanese,Asian,,,,,,
Gyozasakaba Pitari Amemura,"2-9-5, Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",227,3.2812066078186035,$$ - $$$,10,,,Pub,,,,,,,
Motokara,"7-11 Soemoncho B1F Peace Bldg., Chuo, Osaka 542-0084 Osaka Prefecture",225,3.282463788986206,$$ - $$$,23,"$1,000 - $4,000",,Bar,Fusion,,,,,,
Antico Cafe Al Avis Herbis Plaza,"2-2-22 Umeda, Kita-Ku B2F Herbis Plaza Ent. Bldg., Osaka 530-0001 Osaka Prefecture",508,3.2837283611297607,$$ - $$$,59,,,Cafe,,,,,,,
Kitamura,"1-16-27 Higashi-Shinsaibashi, Chuo, Osaka 542-0083 Osaka Prefecture",223,3.285937547683716,$$$$,38,$50 - $100,,Japanese,Asian,,,,,,
Epais,"1-9-3 Sonezaki Shinchi, Kita-Ku New Hana Bldg. 3F, Osaka 530-0002 Osaka Prefecture",506,3.285052299499512,$$ - $$$,26,,,Japanese,,,,,,,
President Chibo Kita,"1-10-1 Sonezakishinchi, Kita-ku Espacion YAMADA Bldg. B1, Osaka 530-0002 Osaka Prefecture",503,3.285960912704468,$$$$,40,,,Japanese,,,,,,,
Gyutan Sumiyaki Rikyu Abeno Harukas Dining,"1-1-43 Abenosuji, Abeno-ku 12F Abeno Harukas Kintetsu, Osaka 545-8545 Osaka Prefecture",505,3.285471677780152,$$ - $$$,38,,,Japanese,,,,,,,
Manryo Tenjinbashi,"3-1-9 Tenjimbashi, Kita-Ku, Osaka 530-0041 Osaka Prefecture",474,3.293182134628296,$$ - $$$,33,"$4,500 - $5,000",,Grill,,,,,,,
Meigetsukan Uehommachi Main branch,"12-2-101 Obasecho, Tenoji-ku, Osaka Osaka Prefecture",501,3.2863845825195312,$$ - $$$,27,,,Barbecue,,,,,,,
Kojimaya,"Shukuinchohigashi, Sakaiku, Sakai 590-0955 Osaka Prefecture",5,3.2791411876678467,$$ - $$$,40,"$800 - $1,000",,,,,,,,,
Aizuya Namba,"5 #5, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",41,3.27691650390625,$$ - $$$,43,"$800 - $1,000",,Japanese,,,,,,,
Takoyaki Ohako Nishinakajima Honten,"3-17-17 Nishinakajima, Yodogawa-ku, Osaka Osaka Prefecture",500,3.2864010334014893,$,60,,,Japanese,,,,,,,
Mexican Ola Tacos Bar,"1-17-1 Higashi-Shinsaibashi Kosumi Bldg 1F, Chuo, Osaka 542-0083 Osaka Prefecture",233,3.2783868312835693,$$ - $$$,36,"$1,000","It's little Mexico in the middle of the Osaka Shinsaibashi area, a cozy small restaurant with delicious authentic Mexican cuisine. Our pride is the home-made tortillas. Our tacos makes you feel like you are in Mexican ""taqueria"". We have many variety of menu as today's special. We also have great tequila and mezcal celection. Orner sheff ""Senchan"" went to Mexico every year and got new menu and tequilas. Plese join us at Ola tacos-bar! It's easy to make new friends in the cheerful Latin atomosphere!",Bar,Mexican,Latin,Central American,Brew Pub,Vegetarian Friendly,,
Ajikitcho Bunbuan,"3-6-4 Hommachi 1F Hommachi Garden City Basement, Chuo, Osaka 541-0053 Osaka Prefecture",215,3.2924132347106934,$$$$,52,,"Experience the unique beauty of Japan at this high-class restaurant, which serves beautiful kaiseki (course menu) cuisine with Japanese hospitality.",Japanese,Healthy,Kaiseki,,,,,
Gateaufesta-Harada  Hanshinumedaten,"Umeda, Kitaku, Osaka 530-0001 Osaka Prefecture",531,3.2769994735717773,$$ - $$$,45,"$1,000 - $3,000",,,,,,,,,
Kushikatsu Bon Kitashinchi,"1-3-16 Dojima Kita-Ku B1 Dojima Merry Center Bldg., Osaka 530-0003 Osaka Prefecture",484,3.290505886077881,$$$$,36,,,Japanese,Kappo,,,,,,
JOE'S SHANGHAI New York Grand Front Osaka,"4-20 Ofukacho, Kita-Ku Grand Front Osaka Nankan 8F, Osaka 530-0011 Osaka Prefecture",460,3.2950668334960938,$$ - $$$,86,"$1,500 - $30,000",大阪駅と夜景が大きな窓に広がる解放感。 眼下の雑踏とは別世界の空間でグラスを傾ければ始まる特別な時間。 見た目も華やかなモダンチャイニーズを楽しむ ​大人のデートレストラン。 大阪の新しいランドマークとして2014年にオープンしたグランフロント大阪。 その南館の8階、洗練されたレストランが集う一角の最も眺望の良いロケーションに位置します。,Chinese,Asian,Fusion,Taiwanese,Singaporean,,,
Genki Ni Naru Nojo Restaurant Mokumoku,"3-1-3 Umeda, Kita-ku Lucua Osaka 10F, Osaka 530-0001 Osaka Prefecture",562,3.269691467285156,$$ - $$$,52,,,International,Vegetarian Friendly,,,,,,
Ramen Shitenno Dotonbori,"1-7-25, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",44,3.271159648895264,$,76,,,Japanese,Bar,,,,,,
Bula Fiji,"5-30 Soemoncho Mitsudera Galaxy Bldg 2, B1F-A, Chuo, Osaka 542-0084 Osaka Prefecture",245,3.270408391952514,$$ - $$$,22,"$800 - $5,000","FIRST and only FIJIAN Restaurant/bar in Japan with FIJI BEER , FIJI RUM ,FIJI WHISKY ,KAVA ,Original cocktails ,LIVE SPORTS with verities of FIJIAN DISHES ,,,,NO COVER CHARGE Play your own choice of music ,meet famous rugby players from all over the world . FIJIAN STYLE BBQ is not to be missed",,,,,,,,
Shinsaibashi Madras 5,"2-7-22 Nishishinsaibashi Dotombori Heights 1F, Chuo, Osaka 542-0086 Osaka Prefecture",246,3.2697908878326416,$$ - $$$,23,,,Asian,,,,,,,
"Kyo Chabana, Kyobashi Keihan Mall","2-1-38 Higashinodamachi, Miyakojima-ku Main Bldg. 1F, Osaka 534-0024 Osaka Prefecture",550,3.272723913192749,$$ - $$$,23,"$1,000 - $4,000",,Japanese,Steakhouse,Pub,Wine Bar,,,,
Takama,"7-12-14 Tenjimbashi, Kita-Ku, Osaka 531-0041 Osaka Prefecture",554,3.2722954750061035,$$ - $$$,44,"$1,000 - $3,000",,Japanese,,,,,,,
sumile Osaka,"2-1-18 Nishitemma, Kita-Ku Nakanoshima Love Central, Osaka 530-0047 Osaka Prefecture",558,3.2706897258758545,$$ - $$$,41,"$2,000 - $13,500",,Italian,Cafe,,,,,,
Abeno Takoyaki Yamachan No.2,"2-3-53 Matsuzakicho, Abeno-Ku Kawakami Bldg.1F, Osaka 545-0053 Osaka Prefecture",544,3.2745323181152344,$$ - $$$,56,"$800 - $1,000",,Japanese,,,,,,,
Steak House pondo Kitashinchi,"1-5-14 Sonezakishinchi, Kita-ku 1F Kitashinchi Niko Bldg., Osaka 530-0002 Osaka Prefecture",551,3.2725870609283447,$$ - $$$,26,,"Have Great stake! We recommend to have real “wagu” dry aging beef. You can choose the part of beef from more than 10 kinds of different ways. We available English menu, so please let us know what and how you want to have them. There are 3 floors. You can watch cooking beef in front of you on the first floor. On the second floor and third floor, you can have comfortable seat. We are looking forward meeting you,please have a wonderful experience with us!",Steakhouse,French,Japanese,Korean,Dining bars,,,
Casa de Comidas la Paprica Vegan,"1-9-9 Shimmachi, Nishi-Ku Alivio Shimmachi 1F, Osaka 550-0013 Osaka Prefecture",548,3.2732770442962646,$$ - $$$,27,"$1,000 - $2,500",It is a restaurant with 100% Vegan,Contemporary,Japanese,Vegetarian Friendly,Vegan Options,,,,
Kasumi Kitayoshi,"5-4-5 Tenjimbashi, Kita-Ku Kanboku Heights 102-B, Osaka 530-0041 Osaka Prefecture",545,3.2739477157592773,$$ - $$$,18,"$7,000 - $15,000","We serve crab course menu and a la carte menu. Our crab and some seafood are from Kasumi, the north port of Hyogo pref. Tasty and good combination with local sake.",Seafood,Japanese,,,,,,
Singapore Seafood Republic Daimaru Umeda,"3-1-1 Umeda, Kita-Ku, Osaka 530-0001 Osaka Prefecture",542,3.2747552394866943,$$ - $$$,84,,,Asian,Singaporean,Seafood,Dining bars,,,,
Teppanyaki Ikka Ichiyo,"1-2-70 Miyahara, Yodogawa-Ku Courtyard by Marriott Shin-Osaka Station, Osaka 532-0003 Osaka Prefecture",549,3.273256063461304,$$$$,26,"$12,000 - $20,000","Located on the top floor of the hotel, Teppanyaki Ikka-Ichiyo is a refined and elegant dining space featuring a superb amber-colored teppanyaki counter together with stunning evening views of Osaka. The name Ikka-Ichiyo conveys the key concept of simplicity, of enjoying the authentic natural flavors of foods such as premium selected Japanese Black Wagyu beef seasoned with four varieties of salt and honwasabi (premium wasabi) chosen by the head chef, as well as the finest vegetables in season. The culinary experience is further enhanced by the exquisite skills of our chefs, a form of performance art in itself.",Steakhouse,Japanese,,,,,,
Dosanjin Kitahama,"2-4-10 Fushimimachi, Chuo, Osaka 541-0044 Osaka Prefecture",240,3.275625705718994,$$ - $$$,36,"$1,000 - $3,000",,,,,,,,,
Hokkyokusei Daimaru Umeda,"3-1-1 Umeda, Kita-ku, Osaka Osaka Prefecture",535,3.2764079570770264,,46,,,International,,,,,,,
Jinanbo Ramen,"1-12-30 Higashinakajima, Higashiyodogawa-ku, Osaka Osaka Prefecture",538,3.2760121822357178,,22,,,Asian,Japanese,,,,,,
"Makino, Namba Sennichimae","3-3-4 1f, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",43,3.275883913040161,$$ - $$$,31,,,Japanese,,,,,,,
Taishu Niku Shokudo Genbe,"2-13-6 Doshin Kita-Ku, Osaka 530-0035 Osaka Prefecture",537,3.2761402130126958,$$ - $$$,23,,,Steakhouse,,,,,,,
"Absinthe Solaar, Osaka Takashimaya","5-1-18 8F, Namba Dining Mason Takashimaya Department Store, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",42,3.2765982151031494,$$ - $$$,38,$1 - $3,"Roof Top Mediterranean Restaurant Cafe Bar & Beer Garden on the 8th floor of Takashimaya Department Store in Namba. Absinthe Solaar is situated in the heart of Osaka with an open terrace and indoor space decorated in a Moroccan theme. The mouthwatering menu will take you on a tour right around the Mediterranean from the European, to the North African.",Mediterranean,Middle Eastern,Vegetarian Friendly,Vegan Options,,,,
Izumi Curry Namba City,"2-8-115 Namba Naka, Naniwa-ku Namba City South Bldg. B1F, Osaka 556-0011 Osaka Prefecture",567,3.2685625553131104,$$ - $$$,26,"$800 - $1,000",,Japanese,Asian,Soups,,,,,
Kamitora Higobashiten,"1-14-12 Edobori, Nishi-Ku, Osaka 550-0002 Osaka Prefecture",563,3.269449472427368,$$ - $$$,34,,,Japanese,Asian,,,,,,
Torikizoku,"1-6-15 Dotonbori Doutonville 3F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",45,3.269362211227417,$$ - $$$,37,,,Japanese,Asian,,,,,,
Fan Fan Honten,"4-3-39 Miyahara, Yodogawa-Ku Daiko Shinosaka Bldg. 1F, Osaka 532-0003 Osaka Prefecture",510,3.282595634460449,$$ - $$$,27,"$1,000 - $5,000",,Chinese,,,,,,,
Lapichu Bar,"4-8-3 Nakamura Building 2F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",44,3.2688980102539062,$$$$,16,"$500 - $12,000","Since 9 years, LAPICHU BAR has become a ""must visit place"" in South Area of Osaka City. Next to Namba Station, one of the most concentrated areas, customers are able to enjoy a variety of cocktails, a menu that includes japanese famous sake and others type of japanese alcohol made of rice or potetoes. Shisha (Hookah/Arguileh/Cachimba) is offered for advanced and beginners smokers who can experience many delicious flavours. A great atmosphere, sorrounded by japanese customers, great music from talented DJs every weekend. The 3rd Floor is an option well choosed habitually because of its chill ambient and japanese retro style. Also, this spot is furnished with famous japanese mat called tatami which means travellers ought to take off their shoes, whose experience is common in Japanese culture. Discover new interesting and really nice people while you enjoy your favourite cocktail and eat some food as well, such as original Lapi-Ramen!",Mexican,Japanese,Bar,Pub,,,,
Taikan-En,"1-4-1 Shiromi Hotel New Otani Osaka 3F, Chuo, Osaka 540-8578 Osaka Prefecture",235,3.2769529819488525,$$$$,37,"$2,000 - $20,000","In the elegance of the Taikan En restaurant's modern black interior setting at HOTEL NEW OTANI OSAKA, Master Chef Cai Qun Lin creates for you a unique culinary experience comprising the most tantalizing offerings from among both the traditional and the latest trends in Chinese cuisine.",Chinese,,,,,,,
Akiyoshi Umeda,"2-14-14 Sonezaki, Kita-ku, Osaka Osaka Prefecture",482,3.292128562927246,$$ - $$$,32,,,Japanese,,,,,,,
